playerOne,playerTwo,gamesWon,gamesWonWithNoise
Ahri,Aatrox,16,16.42229393122329
Akali,Aatrox,369,369.43978358589624
Akshan,Aatrox,234,234.08441529597124
Alistar,Aatrox,12,11.811982955226897
Amumu,Aatrox,3,2.8828824389392174
Anivia,Aatrox,7,6.615796416962697
Annie,Aatrox,5,4.697195674504539
Aphelios,Aatrox,3,2.8667442158305727
Ashe,Aatrox,24,23.536344307948273
AurelionSol,Aatrox,11,10.870850818275718
Azir,Aatrox,14,13.89574774328844
Bard,Aatrox,3,3.0712714121602915
Belveth,Aatrox,13,12.618817187163963
Blitzcrank,Aatrox,4,4.169251837888202
Brand,Aatrox,13,12.55652511092934
Braum,Aatrox,2,1.9735357290404103
Caitlyn,Aatrox,7,7.4748717306090064
Camille,Aatrox,426,426.45700404620106
Cassiopeia,Aatrox,27,27.043279248156068
Chogath,Aatrox,311,311.4693319830266
Corki,Aatrox,11,11.429811255991547
Darius,Aatrox,1271,1270.5047203906458
Diana,Aatrox,18,18.178325930521666
Draven,Aatrox,16,15.700847069610685
DrMundo,Aatrox,444,444.2893909110176
Ekko,Aatrox,15,14.988260230591438
Elise,Aatrox,4,4.202480638075148
Evelynn,Aatrox,1,1.4264117583750007
Ezreal,Aatrox,12,12.27540418282351
Fiddlesticks,Aatrox,3,3.3765481960064108
Fiora,Aatrox,732,731.7211372661637
Fizz,Aatrox,4,3.739089192249277
Galio,Aatrox,11,10.919914122472138
Gangplank,Aatrox,1250,1250.4054913973146
Garen,Aatrox,910,909.7410652473299
Gnar,Aatrox,407,406.8909309279035
Gragas,Aatrox,258,257.8996937597534
Graves,Aatrox,151,150.84365579175557
Gwen,Aatrox,352,352.06268595147606
Hecarim,Aatrox,3,2.8182766511320514
Heimerdinger,Aatrox,94,94.43827093188067
Illaoi,Aatrox,429,428.7766233166288
Irelia,Aatrox,720,719.5651533379738
Ivern,Aatrox,6,6.062260341613154
Janna,Aatrox,9,9.150454170002796
JarvanIV,Aatrox,12,11.857668318191925
Jax,Aatrox,675,675.0802731837392
Jayce,Aatrox,191,190.88427505995662
Jhin,Aatrox,12,11.921770020807111
Jinx,Aatrox,4,4.490788021236952
Kaisa,Aatrox,5,4.869388816872344
Kalista,Aatrox,17,16.649088915652243
Karma,Aatrox,81,81.09931290784598
Karthus,Aatrox,20,19.840859257746008
Kassadin,Aatrox,6,6.082769666226854
Katarina,Aatrox,36,35.65284036058531
Kayle,Aatrox,800,799.9577106568087
Kayn,Aatrox,39,38.86590653930709
Kennen,Aatrox,160,160.0159739711117
Khazix,Aatrox,2,2.2754479325682175
Kindred,Aatrox,5,5.101681059051598
Kled,Aatrox,268,267.8649593761821
KogMaw,Aatrox,7,7.166225531465577
Leblanc,Aatrox,5,4.522559774828908
LeeSin,Aatrox,18,17.544990068186294
Leona,Aatrox,4,3.8563639074395617
Lillia,Aatrox,197,197.16946477115442
Lissandra,Aatrox,11,11.07994630779709
Lucian,Aatrox,12,11.764967279946704
Lulu,Aatrox,11,10.562794645017657
Lux,Aatrox,8,8.162288950629934
Malphite,Aatrox,484,483.9173984391447
Malzahar,Aatrox,16,16.411693989074408
Maokai,Aatrox,43,42.70556241895491
MasterYi,Aatrox,21,21.042534258983373
MissFortune,Aatrox,2,1.6112600853432495
MonkeyKing,Aatrox,299,298.82894031665097
Mordekaiser,Aatrox,1074,1074.1371839165631
Morgana,Aatrox,7,7.1152139627056386
Nami,Aatrox,1,0.6547721172592924
Nasus,Aatrox,611,610.8604904662258
Nautilus,Aatrox,11,10.933371283574422
Neeko,Aatrox,26,26.115045001723743
Nidalee,Aatrox,5,4.828237087504293
Nilah,Aatrox,8,8.159327306434138
Nocturne,Aatrox,15,14.958984851119343
Nunu,Aatrox,0,0.3690942111089225
Olaf,Aatrox,275,275.0745873990317
Orianna,Aatrox,6,6.373341535010367
Ornn,Aatrox,690,690.2310323920359
Pantheon,Aatrox,230,230.11585417839873
Poppy,Aatrox,99,98.78486312609772
Pyke,Aatrox,10,9.855107314254072
Qiyana,Aatrox,11,10.904435772214288
Quinn,Aatrox,198,198.3864975950572
Rakan,Aatrox,1,0.8544066880163741
Rammus,Aatrox,11,11.063619902334713
RekSai,Aatrox,10,9.798275927428119
Rell,Aatrox,6,6.154720542866967
Renata,Aatrox,1,1.0526717152016634
Renekton,Aatrox,467,466.5711814947089
Rengar,Aatrox,107,106.91739046950316
Riven,Aatrox,525,524.515078597289
Rumble,Aatrox,57,57.34475586200847
Ryze,Aatrox,35,34.87118111521812
Samira,Aatrox,15,14.892187653012268
Sejuani,Aatrox,116,116.06034475060164
Senna,Aatrox,11,10.77831665177251
Seraphine,Aatrox,2,2.2708303818888664
Sett,Aatrox,853,852.8362463844766
Shaco,Aatrox,44,44.38586284141455
Shen,Aatrox,563,563.1873037917658
Shyvana,Aatrox,89,88.88080644455579
Singed,Aatrox,257,257.1472419800995
Sion,Aatrox,887,887.1578360140843
Sivir,Aatrox,1,1.3463049685044737
Skarner,Aatrox,15,15.495173259943208
Sona,Aatrox,0,-0.1119525616077488
Soraka,Aatrox,10,9.51004209266587
Swain,Aatrox,110,110.20422766455968
Sylas,Aatrox,104,104.18938324250377
Syndra,Aatrox,3,3.3302169914587014
TahmKench,Aatrox,350,350.4910656781566
Taliyah,Aatrox,3,3.2034380984315516
Talon,Aatrox,6,6.121581196073014
Taric,Aatrox,19,19.35136317656731
Teemo,Aatrox,851,850.7999834016009
Thresh,Aatrox,13,12.77057666111132
Tristana,Aatrox,7,7.309636385045587
Trundle,Aatrox,175,175.10551724972655
Tryndamere,Aatrox,457,457.01775673456865
TwistedFate,Aatrox,6,6.070015213349084
Twitch,Aatrox,12,12.14813336935502
Udyr,Aatrox,103,103.34764921682486
Urgot,Aatrox,422,422.4568614137277
Varus,Aatrox,8,8.155122440328675
Vayne,Aatrox,194,193.83592117416424
Veigar,Aatrox,14,14.060432767578007
Velkoz,Aatrox,4,4.227450604848383
Vex,Aatrox,10,9.984611507694712
Vi,Aatrox,12,11.643424597703225
Viego,Aatrox,28,27.69909226432912
Viktor,Aatrox,26,25.62126824187394
Vladimir,Aatrox,153,152.9375434163758
Volibear,Aatrox,580,579.808181547649
Warwick,Aatrox,178,177.65973315383624
Xayah,Aatrox,0,0.2635325376126201
Xerath,Aatrox,1,0.9024824403936238
XinZhao,Aatrox,15,14.820595477580069
Yasuo,Aatrox,409,408.9120965249842
Yone,Aatrox,610,609.9101668610521
Yorick,Aatrox,431,430.6414637366902
Yuumi,Aatrox,5,4.697770327194538
Zac,Aatrox,25,25.164944340223958
Zed,Aatrox,29,28.67913974855675
Zeri,Aatrox,46,45.776394692876615
Ziggs,Aatrox,2,1.8277223057603162
Zilean,Aatrox,9,9.284119642724967
Zoe,Aatrox,3,3.243357665990852
Zyra,Aatrox,7,6.562884362596147
Akshan,Aatrox,1,1.3383291883904136
Amumu,Aatrox,19,18.686812936661912
Belveth,Aatrox,21,21.120143080332838
Blitzcrank,Aatrox,0,-0.33989157026488714
Camille,Aatrox,0,-0.12443166218576074
Chogath,Aatrox,1,0.5837276254788646
Darius,Aatrox,4,4.253616899630412
Diana,Aatrox,32,32.070229094279846
Ekko,Aatrox,15,14.765254601915514
Elise,Aatrox,2,1.5309708152241752
Evelynn,Aatrox,7,6.710952002135641
Fiddlesticks,Aatrox,6,5.503932607956695
Fizz,Aatrox,0,-0.39821354704481393
Gragas,Aatrox,4,3.655519812836525
Graves,Aatrox,6,6.111011796433049
Gwen,Aatrox,2,1.8901117507761094
Hecarim,Aatrox,15,14.735849058614283
Ivern,Aatrox,3,2.706873365329006
JarvanIV,Aatrox,6,6.011814273846556
Jax,Aatrox,4,3.7957884775501096
Jhin,Aatrox,0,0.09952676690510598
